종목명,종목코드,수량,평균매수가,투자액
엘지씨엔에스,,1560,2192.0,3419520.0
현대차,,23,286500.0,6589500.0
LG이노텍,,23,286478.0,6588994.0
코오롱인더,,99,63014.0,6238386.0
에스피지,,46,133774.0,6153604.0
삼성전자,,88,67100.0,5904800.0
POSCO홀딩스,,15,313011.0,4695165.0
셀트리온,,23,200848.0,4619504.0
한화솔루션,,85,47594.0,4045490.0
NAVER,,15,256667.0,3850005.0
디아이씨,,271,12020.0,3257420.0
LG에너지솔루션,,7,429000.0,3003000.0
삼성전기,,20,149700.0,2994000.0
브이티,,77,38050.0,2929850.0
현대건설,,47,61600.0,2895200.0
케이엠더블유,,129,21500.0,2773500.0
현대모비스,,10,261500.0,2615000.0
오이솔루션,,60,41800.0,2508000.0
두산에너빌리티,,87,28800.0,2505600.0
솔루스첨단소재,,120,18290.0,2194800.0
JYP Ent.,,21,102800.0,2158800.0
기가비스,,32,67056.0,2145792.0
뷰노,,71,28750.0,2041250.0
제우스,,206,9896.0,2038576.0
에코앤드림,,44,46082.0,2027608.0
서진시스템,,76,26650.0,2025400.0
하이비젼시스템,,111,17960.0,1993560.0
심텍,,54,33800.0,1825200.0
덕산네오룩스,,20,55500.0,1110000.0
아비코전자,,100,10650.0,1065000.0
현대오토에버,,6,151100.0,906600.0
텔레칩스,,15,18050.0,270750.0
